the_geom,ObjectID,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp,date,year
POINT (-73.9257147557652 40.74421897268292),1092,4.0,Queens,402.0,26.0,37.0,12.0,14.0,4195,Other,02/07/2019,3909 Queens Boulevard,3909 Queens Boulevard,Queens Boulevard,39th Street and 39th Place,Queens,402,Q32,Not Applicable,40.7442189727,-73.9257147558,Sunnyside,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2019-02-07,2019.0
POINT (-73.94198984966879 40.79888412796724),1929,1.0,Manhattan,111.0,8.0,68.0,30.0,13.0,1233,General,10/10/2012,125 East 116th Street,125 East 116th Street,East 116th Street,Park Avenue and Lexington Avenues,Manhattan,111,Not Applicable,Not Applicable,40.798884128,-73.9419898497,East Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2012-10-10,2012.0
POINT (-73.92872679506138 40.65850406534371),394,3.0,Brooklyn,317.0,41.0,58.0,20.0,9.0,3708,Senior Safety,06/29/2017,905 Winthrop Street,905 Winthrop Street,Winthrop Street,E 52nd Street & E 53rd Street,Brooklyn,317,Not Applicable,Not Applicable,40.6585040653,-73.9287267951,East Flatbush-Rugby,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-06-29,2017.0
POINT (-73.90966958434575 40.68246074596617),623,3.0,Brooklyn,304.0,37.0,55.0,18.0,8.0,3066,General,07/14/2015,1773 Broadway,1773 Broadway,Broadway,Chauncey Street & Pilling Street,Brooklyn,304,Not Applicable,Not Applicable,40.682460746,-73.9096695843,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-07-14,2015.0
POINT (-73.83525607506856 40.707282838035674),838,4.0,Queens,409.0,29.0,27.0,14.0,6.0,830,General,09/12/2012,116-29 Metropolitan Avenue,116-29 Metropolitan Avenue,Metropolitan Avenue,83rd Avenue & Grosvenor Avenue,Queens,409,Q54,Not Applicable,40.707282838,-73.8352560751,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2012-09-12,2012.0
POINT (-73.75671164666298 40.69329269131022),727,4.0,Queens,412.0,27.0,33.0,14.0,5.0,3323,Municipal Facilities,07/06/2016,195-03 Linden Boulevard,195-03 Linden Boulevard,Linden Boulevard,195th Street & 196th Street,Queens,412,Q04,Not Applicable,40.6932926913,-73.7567116467,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-07-06,2016.0
POINT (-73.97117899229825 40.694297670024),739,3.0,Brooklyn,302.0,35.0,50.0,25.0,8.0,2717,Municipal Facilities,10/02/2014,100 Clermont Avenue,100 Clermont Avenue,Clermont Avenue,Park Avenue & Myrtle Avenue,Brooklyn,302,Not Applicable,Not Applicable,40.69429767,-73.9711789923,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-10-02,2014.0
POINT (-73.7694779095268 40.76068352203276),1235,4.0,Queens,411.0,19.0,26.0,11.0,6.0,1517,BID,01/30/2013,43-25 Bell Blvd,43-25 Bell Blvd,Bell Blvd,43rd Avenue and Northern Boulevard,Queens,411,Q31,Bell Blvd BBA,40.760683522,-73.7694779095,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-01-30,2013.0
POINT (-73.81829853443244 40.7298241207267),986,4.0,Queens,408.0,24.0,27.0,16.0,6.0,3311,Municipal Facilities,07/08/2016,70-35 150th Street,150-5 70th Road,70th Road,150th Street & Kissena Boulevard,Queens,408,Not Applicable,Not Applicable,40.7298241207,-73.8182985344,Kew Gardens Hills,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-07-08,2016.0
POINT (-73.97971350134435 40.573479093872),2126,3.0,Brooklyn,313.0,47.0,46.0,23.0,8.0,2174,Plaza,07/26/2013,3098 West 12th Street,3098 West 12th Street,West 12th Street,Boardwalk and Bowery Street,Brooklyn,313,Not Applicable,Not Applicable,40.5734790939,-73.9797135013,Coney Island-Sea Gate,AE,,1.0,BACKED,2013-07-26,2013.0
POINT (-74.0031504563532 40.68296537964302),2158,3.0,Brooklyn,306.0,39.0,52.0,26.0,7.0,4196,General,06/06/2019,71 Carroll Street,71 Carroll Street,Carroll Street,Columbia Street & Hicks Street,Brooklyn,306,Not Applicable,Not Applicable,40.6829653796,-74.0031504564,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2019-06-06,2019.0
POINT (-73.95097890877017 40.778726086478514),1351,1.0,Manhattan,108.0,5.0,76.0,28.0,12.0,3831,General,07/05/2017,1690 2nd Avenue,1690 2nd Avenue,2nd Avenue,E 88th Street & E 87th Street,Manhattan,108,Not Applicable,Not Applicable,40.7787260865,-73.9509789088,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-07-05,2017.0
POINT (-73.94235993384244 40.665886531255644),463,3.0,Brooklyn,309.0,35.0,43.0,20.0,9.0,1104,General,07/27/2012,383 Kingston Avenue,383 Kingston Avenue,Crown Street,Crown and Carrol Streets,Brooklyn,309,Not Applicable,Not Applicable,40.6658865313,-73.9423599338,Crown Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-07-27,2012.0
POINT (-73.8771595509629 40.871361797851726),1828,2.0,Bronx,207.0,11.0,80.0,36.0,13.0,2346,General,02/24/2014,374 East 204th Street,374 East 204th Street,East 204th Street,Decatur Avenue & Bronx River Parkway,Bronx,207,Not Applicable,Not Applicable,40.8713617979,-73.877159551,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-02-24,2014.0
POINT (-73.94273678736896 40.66445520588166),1976,3.0,Brooklyn,309.0,35.0,43.0,20.0,9.0,1561,General,05/30/2013,416 Kingston Avenue,416 Kingston Avenue,Kingston Avenue,Empire Blvd & Montgomery Street,Brooklyn,309,Not Applicable,Not Applicable,40.6644552059,-73.9427367874,Crown Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-05-30,2013.0
POINT (-74.0122875538757 40.64903375626781),331,3.0,Brooklyn,307.0,38.0,51.0,25.0,7.0,1487,General,01/08/2013,309 47th Street,309 47th Street,47th Street,4th Avenue & 3rd Avenue,Brooklyn,307,Not Applicable,Not Applicable,40.6490337563,-74.0122875539,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-01-08,2013.0
POINT (-74.00647354949632 40.74696173735782),1128,1.0,Manhattan,104.0,3.0,75.0,27.0,10.0,1480,General,12/20/2012,540 West 21st Street,540 West 21st Street,West 21st Street,10th & 11th Avenue,Manhattan,104,Not Applicable,Not Applicable,40.7469617374,-74.0064735495,Chelsea-Hudson Yards,AE,,1.0,BACKED,2012-12-20,2012.0
POINT (-73.8452593838792 40.87007006154139),1826,2.0,Bronx,212.0,12.0,83.0,36.0,16.0,2523,Municipal Facilities,06/24/2014,1385 E Gun Hill Road,1385 E Gun Hill Road,E Gun Hill Road,Knapp Street and Seymour Avenue,Bronx,212,Not Applicable,Not Applicable,40.8700700615,-73.8452593839,Eastchester-Edenwald-Baychester,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-06-24,2014.0
POINT (-73.77125162361821 40.764098725394874),1260,4.0,Queens,411.0,19.0,26.0,11.0,6.0,1513,BID,01/28/2013,40-12 Bell Boulevard,40-12 Bell Boulevard,Bell Blvd,40th and 41st Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.7640987254,-73.7712516236,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-01-28,2013.0
POINT (-73.99152555299669 40.765016732959076),1267,1.0,Manhattan,104.0,3.0,75.0,27.0,10.0,2549,Municipal Facilities,06/25/2014,742 10th Avenue,742 10th Avenue,10th Avenue,West 50th Street & West 51st Street,Manhattan,104,Not Applicable,Not Applicable,40.765016733,-73.991525553,Hell's Kitchen,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-06-25,2014.0
POINT (-73.98553691535359 40.67666652521416),574,3.0,Brooklyn,306.0,39.0,52.0,20.0,7.0,2677,Municipal Facilities,07/29/2014,512 Carroll Street,1 Whitwell Place,Whitwell Place,Carroll Street & 1st Street,Brooklyn,306,Not Applicable,Not Applicable,40.6766665252,-73.9855369154,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2014-07-29,2014.0
POINT (-73.88475667137185 40.749762744723505),1151,4.0,Queens,403.0,25.0,39.0,13.0,14.0,2419,General,05/12/2014,81-15 37th Avenue,81-15 37th Avenue,37th Avenue,81st Street and 82nd Street,Queens,403,Not Applicable,82nd Street,40.7497627447,-73.8847566714,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-05-12,2014.0
POINT (-73.88067819555293 40.6623474545011),426,3.0,Brooklyn,305.0,42.0,60.0,19.0,8.0,3596,General,05/20/2017,812 Ashford Street,812 Ashford Street,Ashford Street,Linden Blvd & Stanley Avenue,Brooklyn,305,B6,Not Applicable,40.6623474545,-73.8806781956,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKLESS,2017-05-20,2017.0
POINT (-73.85802580692271 40.81350122828774),1531,2.0,Bronx,209.0,18.0,85.0,34.0,15.0,2906,Municipal Facilities,12/18/2014,403 Soundview Avenue,403 Soundview Avenue,Soundview Avenue,Underhill Avenue & Patterson Avenue,Bronx,209,BX27,Not Applicable,40.8135012283,-73.8580258069,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2014-12-18,2014.0
POINT (-73.96016463167147 40.710942556481164),859,3.0,Brooklyn,301.0,34.0,53.0,18.0,7.0,2401,Senior Center,03/06/2014,201 S 4th Street,201 S 4th Street,S 4th Street,Roebling Street & S 5th Street,Brooklyn,307,Not Applicable,Not Applicable,40.7109425565,-73.9601646317,Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-03-06,2014.0
POINT (-73.97471544852539 40.783187969238114),1383,1.0,Manhattan,107.0,6.0,69.0,29.0,10.0,1822,BID,03/28/2014,430 Columbus Avenue,430 Columbus Avenue,Columbus Avenue,W80th & W81st Street,Manhattan,107,Not Applicable,Columbus Avenue,40.7831879692,-73.9747154485,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-03-28,2014.0
POINT (-73.94033076640972 40.814593378907375),1536,1.0,Manhattan,110.0,9.0,70.0,30.0,13.0,2474,Health Care Facilities,05/16/2014,506 Lenox Avenue,506 Lenox Avenue,Lenox Avenue,W. 135th Street and W. 136th Street,Manhattan,110,Not Applicable,Not Applicable,40.8145933789,-73.9403307664,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2014-05-16,2014.0
POINT (-73.8790935936381 40.679522745339774),595,3.0,Brooklyn,305.0,37.0,54.0,18.0,8.0,2903,Municipal Facilities,01/02/2015,3144 Atlantic Avenue,3144 Atlantic Avenue,Atlantic Avenue,Montauk Avenue & Milford Street,Brooklyn,305,Q24,Not Applicable,40.6795227453,-73.8790935936,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2015-01-02,2015.0
POINT (-73.91404157653632 40.78190072698729),1377,4.0,Queens,401.0,22.0,36.0,13.0,14.0,3379,Municipal Facilities,,21-25 21st Avenue,21-25 21st Avenue,21st Avenue,21st Street & 23rd Street,Queens,401,Not Applicable,Not Applicable,40.781900727,-73.9140415765,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,,Unknown,,
POINT (-73.8580285923322 40.82095471721298),1581,2.0,Bronx,209.0,18.0,87.0,32.0,15.0,2867,Municipal Facilities,12/19/2014,711 White Plains Road,711 White Plains Road,White Plains Road,Seward Avenue & Lafayette Avenue,Bronx,209,BX39,Not Applicable,40.8209547172,-73.8580285923,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKLESS,2014-12-19,2014.0
POINT (-73.99909235143086 40.735679390492386),1018,1.0,Manhattan,102.0,3.0,66.0,27.0,10.0,2772,Municipal Facilities,11/05/2014,116 West 11th Street,116 West 11th Street,West 11th Street,Greenwich Street & 6th Avenue,Manhattan,102,Not Applicable,Not Applicable,40.7356793905,-73.9990923514,West Village,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2014-11-05,2014.0
POINT (-73.9845247172773 40.671453478760185),527,3.0,Brooklyn,306.0,39.0,52.0,20.0,7.0,1009,General,01/16/2013,368 Fifth Avenue,368 Fifth Avenue,5th Avenue,5th and 6th Street,Brooklyn,306,B63,Fifth Avenue,40.6714534788,-73.9845247173,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2013-01-16,2013.0
POINT (-73.89263375913708 40.83211471347254),1975,2.0,Bronx,203.0,17.0,79.0,32.0,15.0,1535,General,02/04/2013,1334 Louis Nine Boulevard,1334 Louis Nine Boulevard,Plaza,"Intervale Avenue, Louis Nine Blvd & Jennings Street",Bronx,203,Not Applicable,Not Applicable,40.8321147135,-73.8926337591,Crotona Park East,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-02-04,2013.0
POINT (-73.8463813306186 40.68451256007037),643,4.0,Queens,409.0,32.0,23.0,15.0,7.0,3947,Bus Route,11/13/2017,97-47 Woodhaven Blvd,97-47 Woodhaven Blvd,Woodhaven Blvd,101st Avenue & 97th Avenue,Queens,0,Q52,Not Applicable,40.6845125601,-73.8463813306,Ozone Park (North),X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2017-11-13,2017.0
POINT (-73.88736058375626 40.81600871919422),1549,2.0,Bronx,202.0,17.0,84.0,32.0,15.0,1779,General,02/04/2013,770 Hunts Point Avenue,770 Hunts Point Avenue,Hunts Point Avenue,Faile Street & Lafayette Avenue,Bronx,202,Not Applicable,Not Applicable,40.8160087192,-73.8873605838,Hunts Point,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-02-04,2013.0
POINT (-73.95437207035434 40.779082158997035),1356,1.0,Manhattan,108.0,5.0,73.0,28.0,12.0,4203,Bus Route,11/20/2018,173 East 86th Street,173 East 86th Street,East 86th Street,Lexington Avenue & 3rd Avenue,Manhattan,108,M96,Not Applicable,40.779082159,-73.9543720704,Upper East Side-Carnegie Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2018-11-20,2018.0
POINT (-73.95350798382431 40.665632744235516),458,3.0,Brooklyn,309.0,35.0,43.0,20.0,9.0,860,General,09/13/2012,333 Montgomery Street,333 Montgomery Street,Montgomery Street,Rogers Avenue and Dearborn Court,Brooklyn,309,Not Applicable,Not Applicable,40.6656327442,-73.9535079838,Crown Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-09-13,2012.0
POINT (-73.98693818009764 40.71578518509137),907,1.0,Manhattan,103.0,1.0,65.0,26.0,12.0,810,General,09/28/2012,411 Grand Street,411 Grand Street,Clinton Street,Grand Street & Clinton Street,Manhattan,103,Not Applicable,Not Applicable,40.7157851851,-73.9869381801,Lower East Side,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-09-28,2012.0
POINT (-73.98118448822503 40.73097530009002),991,1.0,Manhattan,106.0,4.0,74.0,27.0,12.0,3976,General,12/28/2017,409 E 14th Street,409 E 14th St,E 14th Street,Avenue A & 1st Avenue,Manhattan,106,Not Applicable,Not Applicable,40.7309753001,-73.9811844882,Stuyvesant Town-Peter Cooper Village,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2017-12-28,2017.0
POINT (-73.94984398140183 40.806587077882725),1499,1.0,Manhattan,110.0,9.0,70.0,30.0,13.0,3560,Bus Route,02/10/2017,2027 Adam Clayton Powell Jr. Blvd,2027 Adam Clayton Powell Jr. Blvd,Adam Clayton Powell Jr. Blvd,W 121st Street & W122nd Street,Manhattan,111,M02,Not Applicable,40.8065870779,-73.9498439814,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2017-02-10,2017.0
POINT (-73.94060324823835 40.799816141148966),1922,1.0,Manhattan,111.0,8.0,68.0,29.0,13.0,1126,General,02/06/2013,1897 Lexington Avenue,1897 Lexington Avenue,East 118th Street,East 118th and 119th Streets,Manhattan,111,Not Applicable,Not Applicable,40.7998161411,-73.9406032482,East Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2013-02-06,2013.0
POINT (-73.73182183959463 40.69265440820053),722,4.0,Queens,413.0,27.0,33.0,14.0,5.0,3624,General,05/13/2017,22901 Linden Blvd,22901 Linden Blvd,Linden Blvd,229th Street & 230th Street,Queens,413,Not Applicable,Not Applicable,40.6926544082,-73.7318218396,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-05-13,2017.0
POINT (-73.94455752976688 40.705524922613634),821,3.0,Brooklyn,301.0,34.0,53.0,18.0,7.0,2132,Community Health Centers,09/12/2013,94-98 Manhattan Avenue,94-98 Manhattan Avenue,Manhattan Avenue,McKibbin and Boerum Streets,Brooklyn,301,Not Applicable,Not Applicable,40.7055249226,-73.9445575298,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2013-09-12,2013.0
POINT (-73.97170016750238 40.60886740492443),130,3.0,Brooklyn,315.0,44.0,45.0,22.0,11.0,2803,General,01/05/2015,424 Avenue P,424 Avenue P,Avenue P,East 2nd Street & East 3rd Street,Brooklyn,315,Not Applicable,Not Applicable,40.6088674049,-73.9717001675,Gravesend (East)-Homecrest,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2015-01-05,2015.0
POINT (-73.9737248259722 40.59008418607505),46,3.0,Brooklyn,315.0,47.0,45.0,22.0,11.0,3434,Bus Route,12/16/2016,256 Avenue X,256 Avenue X,Avenue X,Shell Road & W 3rd Street,Brooklyn,315,B1,Not Applicable,40.5900841861,-73.973724826,Gravesend (South),X,AREA OF MINIMAL FLOOD HAZARD,2.0,BACKLESS,2016-12-16,2016.0
POINT (-74.0019974238769 40.574613845475895),14,3.0,Brooklyn,313.0,47.0,46.0,23.0,8.0,1165,Senior Center,09/17/2012,3602 Mermaid Avenue,3602 Mermaid Avenue,Mermaid Avenue,Surf and Mermaid Avenues,Brooklyn,313,Not Applicable,Not Applicable,40.5746138455,-74.0019974239,Coney Island-Sea Gate,AE,,1.0,BACKED,2012-09-17,2012.0
POINT (-73.9744323855474 40.58012349484068),1924,3.0,Brooklyn,313.0,47.0,46.0,23.0,8.0,1166,Senior Center,10/25/2012,595 Neptune Avenue,595 Neptune Avenue,Plaza,West 5th and 6th Streets,Brooklyn,313,Not Applicable,Not Applicable,40.5801234948,-73.9744323855,Coney Island-Sea Gate,AE,,1.0,BACKED,2012-10-25,2012.0
POINT (-73.99339424224466 40.61607900435111),162,3.0,Brooklyn,311.0,43.0,49.0,22.0,10.0,3399,Bus Route,10/29/2016,7010 18th Avenue,7010 18th Avenue,18th Avenue,70th Street & 71st Street,Brooklyn,311,B8,Not Applicable,40.6160790044,-73.9933942422,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2016-10-29,2016.0
POINT (-73.92716858192296 40.62178275904939),199,3.0,Brooklyn,318.0,46.0,59.0,19.0,8.0,143,Bus Route,05/04/2012,2057 Utica Avenue,2057 Utica Avenue,Utica Avenue,Avenue M and Avenue L,Brooklyn,318,B46,Not Applicable,40.621782759,-73.9271685819,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKLESS,2012-05-04,2012.0
POINT (-74.01240786903304 40.70873370246774),849,1.0,Manhattan,101.0,1.0,65.0,26.0,10.0,1016,BID,07/11/2012,86 Trinity Place,86 Trinity Place,Trinity Place,Thames and Cedar Streets,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.7087337025,-74.012407869,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKED,2012-07-11,2012.0
POINT (-73.84582498325008 40.84489727347977),1712,2.0,Bronx,211.0,13.0,82.0,34.0,14.0,2453,Health Care Facilities,05/02/2014,1615 Eastchester Road,1615 Eastchester Road,Eastchester Road,Williamsbridge Road and Jarret Place,Bronx,211,Not Applicable,Not Applicable,40.8448972735,-73.8458249833,Westchester Square,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-05-02,2014.0
POINT (-73.98469667654555 40.59653488924588),67,3.0,Brooklyn,311.0,47.0,47.0,22.0,10.0,3509,General,02/13/2017,2619 86th Street,2619 86th Street,86th Street,Stillwell Avenue & W. 13th Street,Brooklyn,311,Not Applicable,Not Applicable,40.5965348892,-73.9846966765,Gravesend (West),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2.0,BACKED,2017-02-13,2017.0
POINT (-73.81787950057115 40.8227993907111),1596,2.0,Bronx,210.0,13.0,82.0,34.0,14.0,2713,Municipal Facilities,08/05/2014,2951 Dewey Avenue,2951 Dewey Avenue,Dewey Avenue,Edison Avenue & Logan Avenue,Bronx,210,Not Applicable,Not Applicable,40.8227993907,-73.8178795006,Throgs Neck-Schuylerville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-08-05,2014.0
POINT (-73.99351155457592 40.72929174009117),981,1.0,Manhattan,102.0,1.0,66.0,27.0,12.0,3046,Municipal Facilities,04/16/2015,721 Broadway,721 Broadway,Broadway,Waverley Street and Washington Street,Manhattan,102,M5,NOHO NY,40.7292917401,-73.9935115546,Greenwich Village,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2015-04-16,2015.0
POINT (-74.06292653779676 40.595737678605374),61,5.0,Staten Island,502.0,50.0,64.0,23.0,11.0,2503,Municipal Facilities,06/05/2014,21 Robin Road,21 Robin Road,Robin Road,Ocean Avenue and Father Capodanno Boulevard,Staten Island,502,Not Applicable,Not Applicable,40.5957376786,-74.0629265378,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2014-06-05,2014.0
POINT (-73.89229257704223 40.89585670424556),1879,2.0,Bronx,226.0,11.0,81.0,34.0,16.0,3600,Bus Route,03/11/2017,Van Cortland Park,5983 Broadway,Broadway,Manhattan College Parkway & W 242nd Street,Bronx,208,BX09,Not Applicable,40.8958567042,-73.892292577,Van Cortlandt Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-03-11,2017.0
POINT (-73.94198590016074 40.79302112306703),1430,1.0,Manhattan,111.0,8.0,68.0,29.0,13.0,2778,Municipal Facilities,11/17/2014,219 East 109th Street,219 East 109th Street,East 109th Street,2nd Avenue & 3rd Avenue,Manhattan,111,Not Applicable,Not Applicable,40.7930211231,-73.9419859002,East Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3.0,BACKED,2014-11-17,2014.0
POINT (-73.87145820771848 40.73415958662524),1003,4.0,Queens,404.0,25.0,35.0,16.0,6.0,2613,General,08/04/2014,90-15 Queens Boulevard,90-15 Queens Boulevard,59th Avenue,57th & 59th Avenue,Queens,404,Not Applicable,Not Applicable,40.7341595866,-73.8714582077,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2014-08-04,2014.0
POINT (-74.03321281812286 40.61846119306861),177,3.0,Brooklyn,310.0,43.0,46.0,22.0,11.0,2936,General,01/05/2015,9302 Third Avenue,9302 Third Avenue,Third Avenue,93rd Street and 94th Street,Brooklyn,310,Not Applicable,Not Applicable,40.6184611931,-74.0332128181,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-01-05,2015.0
POINT (-73.9580918067123 40.76898540539844),1298,1.0,Manhattan,108.0,5.0,76.0,28.0,12.0,3837,General,07/05/2017,1396 2nd Avenue,1396 2nd Avenue,2nd Avenue,E 73rd Street & E 72th Street,Manhattan,108,Not Applicable,Not Applicable,40.7689854054,-73.9580918067,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-07-05,2017.0
POINT (-73.92896393315456 40.63723004635726),276,3.0,Brooklyn,317.0,45.0,41.0,21.0,9.0,2479,Health Care Facilities,05/29/2014,1440 Utica Avenue,1440 Utica Avenue,Utica Avenue,Farragut Road & Glenwood Road,Brooklyn,317,B46,Not Applicable,40.6372300464,-73.9289639332,East Flatbush-Farragut,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKLESS,2014-05-29,2014.0
POINT (-73.9789621244076 40.64290287620872),1901,3.0,Brooklyn,312.0,39.0,44.0,21.0,10.0,1021,Plaza,05/30/2012,114 Beverley Road,114 Beverley Road,Beverly Road,Church Ave and East 2nd Street,Brooklyn,312,Not Applicable,Not Applicable,40.6429028762,-73.9789621244,Kensington,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-05-30,2012.0
POINT (-73.98663855951675 40.68998274778975),690,3.0,Brooklyn,302.0,33.0,52.0,25.0,8.0,990,BID,02/11/2013,179 Livingston Street,179 Livingston Street,Livingston Street,Gallatin Place and Hoyt Street,Brooklyn,302,B41,Court-Livingston-Schermerhorn,40.6899827478,-73.9866385595,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-02-11,2013.0
POINT (-73.90894937870722 40.8811125816741),1884,2.0,Bronx,208.0,11.0,81.0,34.0,16.0,4113,General,05/21/2019,318 West 231st Street,318 West 231st Street,West 231st Street,Tibbett Avenue & Riverdale Avenue,Bronx,208,BX10,Not Applicable,40.8811125817,-73.9089493787,Kingsbridge-Marble Hill,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2019-05-21,2019.0
POINT (-73.89369725625131 40.663881369980594),441,3.0,Brooklyn,305.0,42.0,60.0,19.0,8.0,2743,Municipal Facilities,10/16/2014,557 Pennsylvania Avenue,557 Pennsylvania Avenue,Pennsylvania Avenue,Livonia Avenue & Riverdale Avenue,Brooklyn,305,Not Applicable,Not Applicable,40.66388137,-73.8936972563,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2014-10-16,2014.0
POINT (-73.78412492176331 40.712436084572836),870,4.0,Queens,412.0,27.0,29.0,14.0,5.0,3678,Senior Safety,03/25/2017,179-8 Hillside Avenue,179-8 Hillside Avenue,Hillside Avenue,179th Street & 179th Place,Queens,412,Q2,Not Applicable,40.7124360846,-73.7841249218,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-03-25,2017.0
POINT (-73.9195027739019 40.80776623208789),1504,2.0,Bronx,201.0,8.0,84.0,29.0,15.0,2871,Municipal Facilities,12/10/2014,501 East 138th Street,501 East 138th Street,East 138th Street,Brown Place & Brook Avenue,Bronx,201,BX33,Not Applicable,40.8077662321,-73.9195027739,Mott Haven-Port Morris,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2014-12-10,2014.0
POINT (-73.97582689343704 40.78675276384773),1398,1.0,Manhattan,107.0,6.0,67.0,31.0,10.0,1307,General,03/07/2013,506 Amsterdam Avenue,506 Amsterdam Avenue,Amsterdam Avenue,West 84th and 85th Streets,Manhattan,107,Not Applicable,Not Applicable,40.7867527638,-73.9758268934,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-03-07,2013.0
